scenario_id,dgp_name,learner_name,n,p,mode,start_time,end_time,duration_seconds,n_rep
0,linear_baseline,ols,200,100,full,2026-03-11T12:12:36.445888,2026-03-11T12:12:53.064229,16.618340969085693,1000
1,linear_baseline,lasso,200,100,full,2026-03-11T12:12:36.465577,2026-03-11T12:23:40.372411,663.9068336486816,1000
2,linear_baseline,elastic_net,200,100,full,2026-03-11T12:12:36.430388,2026-03-11T12:19:19.571333,403.1409447193146,1000
3,linear_sparse_correlated,ols,200,100,full,2026-03-11T12:12:36.440889,2026-03-11T12:12:52.375300,15.934411525726318,1000
4,linear_sparse_correlated,lasso,200,100,full,2026-03-11T12:12:52.408205,2026-03-11T12:25:31.617267,759.2090620994568,1000
5,linear_sparse_correlated,elastic_net,200,100,full,2026-03-11T12:12:53.093739,2026-03-11T12:20:13.405604,440.311865568161,1000
6,linear_baseline,ols,200,150,full,2026-03-11T12:19:19.605872,2026-03-11T12:19:45.799404,26.193532466888428,1000
7,linear_baseline,lasso,200,150,full,2026-03-11T12:19:45.828253,2026-03-11T12:30:07.088768,621.2605152130127,1000
8,linear_baseline,elastic_net,200,150,full,2026-03-11T12:20:13.433145,2026-03-11T12:27:11.502706,418.0695610046387,1000
9,linear_sparse_correlated,ols,200,150,full,2026-03-11T12:23:40.408928,2026-03-11T12:24:03.491163,23.082235097885132,1000
10,linear_sparse_correlated,lasso,200,150,full,2026-03-11T12:24:03.519721,2026-03-11T12:35:26.190137,682.6704168319702,1000
11,linear_sparse_correlated,elastic_net,200,150,full,2026-03-11T12:25:31.650788,2026-03-11T12:32:44.775352,433.12456369400024,1000
12,linear_baseline,ols,300,100,full,2026-03-11T12:27:11.534270,2026-03-11T12:27:33.959009,22.42473840713501,1000
13,linear_baseline,lasso,300,100,full,2026-03-11T12:27:33.986542,2026-03-11T13:02:12.445354,2078.458811044693,1000
14,linear_baseline,elastic_net,300,100,full,2026-03-11T12:30:07.119795,2026-03-11T12:48:58.639387,1131.5195922851562,1000
15,linear_sparse_correlated,ols,300,100,full,2026-03-11T12:32:44.804899,2026-03-11T12:33:06.175843,21.370943784713745,1000
16,linear_sparse_correlated,lasso,300,100,full,2026-03-11T12:33:06.203381,2026-03-11T13:12:01.525969,2335.322587966919,1000
17,linear_sparse_correlated,elastic_net,300,100,full,2026-03-11T12:35:26.217641,2026-03-11T12:58:28.356758,1382.1391167640686,1000
18,linear_baseline,ols,300,150,full,2026-03-11T12:48:58.739983,2026-03-11T12:50:03.441776,64.70179271697998,1000
19,linear_baseline,lasso,300,150,full,2026-03-11T12:50:03.473314,2026-03-11T13:21:53.713765,1910.2404503822327,1000
20,linear_baseline,elastic_net,300,150,full,2026-03-11T12:58:28.385748,2026-03-11T13:14:36.658892,968.273143529892,1000
21,linear_sparse_correlated,ols,300,150,full,2026-03-11T13:02:12.478074,2026-03-11T13:02:34.914122,22.436047077178955,1000
22,linear_sparse_correlated,lasso,300,150,full,2026-03-11T13:02:34.943754,2026-03-11T13:34:38.876544,1923.9327895641327,1000
23,linear_sparse_correlated,elastic_net,300,150,full,2026-03-11T13:12:01.559488,2026-03-11T13:29:15.811959,1034.2524716854095,1000
24,linear_baseline,ols,400,100,full,2026-03-11T13:14:36.688406,2026-03-11T13:14:53.578177,16.889770984649658,1000
25,linear_baseline,lasso,400,100,full,2026-03-11T13:14:53.612284,2026-03-11T14:12:50.386832,3476.7745480537415,1000
26,linear_baseline,elastic_net,400,100,full,2026-03-11T13:21:53.747082,2026-03-11T13:52:22.307846,1828.560763835907,1000
27,linear_sparse_correlated,ols,400,100,full,2026-03-11T13:29:15.843505,2026-03-11T13:29:34.618956,18.77545166015625,1000
28,linear_sparse_correlated,lasso,400,100,full,2026-03-11T13:29:34.649599,2026-03-11T14:23:43.379727,3248.7301275730133,1000
29,linear_sparse_correlated,elastic_net,400,100,full,2026-03-11T13:34:38.909514,2026-03-11T14:02:23.889050,1664.9795360565186,1000
30,linear_baseline,ols,400,150,full,2026-03-11T13:52:22.338153,2026-03-11T13:52:58.528060,36.18990778923035,1000
31,linear_baseline,lasso,400,150,full,2026-03-11T13:52:58.557503,2026-03-11T14:50:16.398449,3437.8409464359283,1000
32,linear_baseline,elastic_net,400,150,full,2026-03-11T14:02:23.934184,2026-03-11T14:34:35.276665,1931.342481136322,1000
33,linear_sparse_correlated,ols,400,150,full,2026-03-11T14:12:50.450822,2026-03-11T14:13:20.741314,30.290492296218872,1000
34,linear_sparse_correlated,lasso,400,150,full,2026-03-11T14:13:20.771108,2026-03-11T15:12:23.638400,3542.867291688919,1000
35,linear_sparse_correlated,elastic_net,400,150,full,2026-03-11T14:23:43.414202,2026-03-11T14:57:35.456338,2032.0421361923218,1000
