scenario_id,dgp_name,learner_name,n,p,mode,start_time,end_time,duration_seconds,n_rep
0,linear_confounding,ols,250,25,smoke,2026-06-11T15:57:02.180866,2026-06-11T15:57:02.441494,0.26062822341918945,10
1,linear_confounding,lasso,250,25,smoke,2026-06-11T15:57:02.248171,2026-06-11T15:57:04.449396,2.2012245655059814,10
2,linear_confounding,elastic_net,250,25,smoke,2026-06-11T15:57:02.186841,2026-06-11T15:57:08.320020,6.133179426193237,10
3,linear_confounding,random_forest,250,25,smoke,2026-06-11T15:57:02.217619,2026-06-11T15:57:13.484659,11.267040252685547,10
4,linear_confounding,gradient_boosting,250,25,smoke,2026-06-11T15:57:02.492482,2026-06-11T15:57:06.471245,3.9787633419036865,10
5,quadratic_confounding,ols,250,25,smoke,2026-06-11T15:57:04.487348,2026-06-11T15:57:04.721032,0.23368358612060547,10
6,quadratic_confounding,lasso,250,25,smoke,2026-06-11T15:57:04.722034,2026-06-11T15:57:07.225829,2.5037949085235596,10
7,quadratic_confounding,elastic_net,250,25,smoke,2026-06-11T15:57:06.517547,2026-06-11T15:57:13.749305,7.231757640838623,10
8,quadratic_confounding,random_forest,250,25,smoke,2026-06-11T15:57:07.268246,2026-06-11T15:57:18.277946,11.009699583053589,10
9,quadratic_confounding,gradient_boosting,250,25,smoke,2026-06-11T15:57:08.358689,2026-06-11T15:57:12.739970,4.381280422210693,10
10,interaction_confounding,ols,250,25,smoke,2026-06-11T15:57:12.812808,2026-06-11T15:57:13.078297,0.2654886245727539,10
11,interaction_confounding,lasso,250,25,smoke,2026-06-11T15:57:13.079303,2026-06-11T15:57:15.515054,2.4357502460479736,10
12,interaction_confounding,elastic_net,250,25,smoke,2026-06-11T15:57:13.540760,2026-06-11T15:57:20.546114,7.005353927612305,10
13,interaction_confounding,random_forest,250,25,smoke,2026-06-11T15:57:13.785844,2026-06-11T15:57:24.591297,10.805453538894653,10
14,interaction_confounding,gradient_boosting,250,25,smoke,2026-06-11T15:57:15.558197,2026-06-11T15:57:19.637452,4.079254865646362,10
15,step_confounding,ols,250,25,smoke,2026-06-11T15:57:18.327825,2026-06-11T15:57:18.549648,0.22182226181030273,10
16,step_confounding,lasso,250,25,smoke,2026-06-11T15:57:18.550646,2026-06-11T15:57:20.908593,2.3579471111297607,10
17,step_confounding,elastic_net,250,25,smoke,2026-06-11T15:57:19.691007,2026-06-11T15:57:26.171189,6.480181932449341,10
18,step_confounding,random_forest,250,25,smoke,2026-06-11T15:57:20.605407,2026-06-11T15:57:31.479548,10.874141216278076,10
19,step_confounding,gradient_boosting,250,25,smoke,2026-06-11T15:57:20.952670,2026-06-11T15:57:25.207639,4.254968881607056,10
20,linear_confounding,ols,250,25,smoke,2026-06-11T15:57:24.642384,2026-06-11T15:57:25.106820,0.46443629264831543,10
21,linear_confounding,lasso,250,25,smoke,2026-06-11T15:57:25.107819,2026-06-11T15:57:30.754115,5.64629602432251,10
22,linear_confounding,elastic_net,250,25,smoke,2026-06-11T15:57:25.246182,2026-06-11T15:57:42.301875,17.05569291114807,10
