scenario_id,scenario_name,n,p,dgp_name,learner_name,n_rep,matched_specification,bias,rmse,empirical_sd,mean_se,coverage,mean_ci_length,variance_ratio,t_stat_mean,t_stat_sd
0,linear_baseline_n200_p100_ols,200,100,linear_baseline,ols,1000,True,-0.028702065684453677,0.7863083865966541,0.7861775533574346,0.08124208652821663,0.191,0.31846897919060935,9.676973930062506,-1.5600123483220818,24.53307436350539
6,linear_baseline_n200_p150_ols,200,150,linear_baseline,ols,1000,True,0.03084337079966454,0.1261523464242641,0.1223849625776266,0.06899361080814545,0.704,0.27045495436793027,1.7738593638467421,0.4469435579253925,1.7688544872539593
12,linear_baseline_n300_p100_ols,300,100,linear_baseline,ols,1000,True,0.0009004922595301925,0.11214793498519837,0.11220043392299031,0.05756799586897779,0.676,0.22566654380639306,1.949007121567225,0.030016407880386915,1.9590607870860546
18,linear_baseline_n300_p150_ols,300,150,linear_baseline,ols,1000,True,-0.027862360343216704,0.7678608822548512,0.7677391789013527,0.062498745867665594,0.152,0.24499508380124926,12.284073356079148,-0.942543619484449,28.516627409145904
24,linear_baseline_n400_p100_ols,400,100,linear_baseline,ols,1000,True,-0.0021646816008274584,0.08210039529880092,0.0821129197713721,0.049823178209185824,0.758,0.19530685858000857,1.6480867484329424,-0.03196204336299482,1.6529099122401592
30,linear_baseline_n400_p150_ols,400,150,linear_baseline,ols,1000,True,0.0026885594299266803,0.10241622956836141,0.10243216328510457,0.05039573566756576,0.679,0.1975512838168579,2.0325561662755725,0.05041289151194647,2.0610893240583343
1,linear_baseline_n200_p100_lasso,200,100,linear_baseline,lasso,1000,True,0.025836331477330644,0.0852559320225234,0.0812875487784509,0.06897659821719646,0.887,0.2703882650114102,1.1784801059989825,0.37742098754708164,1.1959109732579065
7,linear_baseline_n200_p150_lasso,200,150,linear_baseline,lasso,1000,True,0.02529909189410725,0.08247767443671412,0.07854101744466624,0.06807663681931035,0.895,0.26686041633169677,1.1537147120403517,0.37092325991986763,1.166110282405599
13,linear_baseline_n300_p100_lasso,300,100,linear_baseline,lasso,1000,True,0.020501367777592754,0.06537224103391849,0.062105401519856225,0.0562763826470704,0.902,0.2206034199765161,1.1035784213306978,0.36669702475702426,1.1059549700690146
19,linear_baseline_n300_p150_lasso,300,150,linear_baseline,lasso,1000,True,0.02359793284752407,0.06632197387994455,0.06201280006601719,0.056331004514164125,0.904,0.22081753769552354,1.1008644458030996,0.42776852976095425,1.1103141673747576
25,linear_baseline_n400_p100_lasso,400,100,linear_baseline,lasso,1000,True,0.018172190892053547,0.05619436594485642,0.05320158504009052,0.04885586526071619,0.899,0.1915149918220076,1.088949806869322,0.37382173397999524,1.0977181126622388
31,linear_baseline_n400_p150_lasso,400,150,linear_baseline,lasso,1000,True,0.019745850289683033,0.057397074371623114,0.053920617353057025,0.04895686619157912,0.906,0.19191091547099035,1.1013902961446438,0.40165687591121446,1.1054766198117254
2,linear_baseline_n200_p100_elastic_net,200,100,linear_baseline,elastic_net,1000,True,0.04769425792626744,0.09131055234653265,0.07790342530573299,0.06827648307002201,0.86,0.26764381363448647,1.140999386653204,0.7076833523007277,1.1413582038557202
8,linear_baseline_n200_p150_elastic_net,200,150,linear_baseline,elastic_net,1000,True,0.05472883602795838,0.09590554915475519,0.07879617822841037,0.06829881358282827,0.836,0.26773134924468694,1.153697613397802,0.8123291061485483,1.1766335060915838
14,linear_baseline_n300_p100_elastic_net,300,100,linear_baseline,elastic_net,1000,True,0.03450843773194265,0.07204415533023292,0.06327346658846414,0.05626379004509134,0.873,0.2205540569767582,1.1245859288497104,0.6113153019468112,1.1326070471141532
20,linear_baseline_n300_p150_elastic_net,300,150,linear_baseline,elastic_net,1000,True,0.03916459119371992,0.07374365267459544,0.06251535232001702,0.0560936339854524,0.863,0.21988704522297353,1.1144821235192226,0.7003986267274976,1.1149607369840009
26,linear_baseline_n400_p100_elastic_net,400,100,linear_baseline,elastic_net,1000,True,0.02970118323620717,0.06107621270534554,0.05339470448710361,0.04893911831693895,0.876,0.19184134380240084,1.0910434499720538,0.611268390927092,1.104352810664664
32,linear_baseline_n400_p150_elastic_net,400,150,linear_baseline,elastic_net,1000,True,0.03271767829011742,0.06458285355239371,0.055709982071229285,0.04896590016585671,0.85,0.19194632865015848,1.1377301730904386,0.6726632464734379,1.1433767289300656
3,linear_sparse_correlated_n200_p100_ols,200,100,linear_sparse_correlated,ols,1000,True,0.02345111913063701,0.7439019061714705,0.743904217289813,0.07381791688174101,0.168,0.28936623417642493,10.077556353717956,-1.0182331475346147,31.757149293743826
9,linear_sparse_correlated_n200_p150_ols,200,150,linear_sparse_correlated,ols,1000,True,0.029170989945126097,0.1209462024823741,0.1174343564234819,0.06907132219709496,0.74,0.2707595830126124,1.7001897848195677,0.44825726477973354,1.7322917178220256
15,linear_sparse_correlated_n300_p100_ols,300,100,linear_sparse_correlated,ols,1000,True,-0.003255918657685095,0.11334463873493984,0.11335455605765299,0.057358626510574565,0.658,0.22484581592145245,1.9762425105621224,-0.0517632500670023,1.9901084923462524
21,linear_sparse_correlated_n300_p150_ols,300,150,linear_sparse_correlated,ols,1000,True,0.0026310109032627116,0.7863441847500119,0.7867332482332645,0.0643377805570209,0.151,0.25220409978352204,12.228168914468588,-0.3027462293201371,32.494489477268
27,linear_sparse_correlated_n400_p100_ols,400,100,linear_sparse_correlated,ols,1000,True,-0.004300704881014796,0.08231280819452824,0.08224151017820626,0.04961326684024559,0.772,0.19448400601376284,1.6576515802320255,-0.07623685723630623,1.6617795143198801
33,linear_sparse_correlated_n400_p150_ols,400,150,linear_sparse_correlated,ols,1000,True,-0.0011387385190053298,0.10757349632475283,0.10762129310153166,0.05016193398447793,0.635,0.19663478121915365,2.145477348118873,-0.03367502318631095,2.1545731843798483
4,linear_sparse_correlated_n200_p100_lasso,200,100,linear_sparse_correlated,lasso,1000,True,0.007545321080456078,0.07383413988948614,0.07348434044954298,0.0693937652468292,0.929,0.2720235597675707,1.0589473015070425,0.10384574999746021,1.0643480234500817
10,linear_sparse_correlated_n200_p150_lasso,200,150,linear_sparse_correlated,lasso,1000,True,0.018937761784531913,0.08067850182691656,0.07846361178280098,0.06915625103629063,0.899,0.27109250406225943,1.1345845184931467,0.2758955326997235,1.1463496796833632
16,linear_sparse_correlated_n300_p100_lasso,300,100,linear_sparse_correlated,lasso,1000,True,0.012338362494545955,0.06238702980626182,0.06118537365211993,0.05691941435566124,0.92,0.22312410427419224,1.074947350473475,0.2170484251864392,1.077839895892794
22,linear_sparse_correlated_n300_p150_lasso,300,150,linear_sparse_correlated,lasso,1000,True,0.008323176870410823,0.06226666111391047,0.06173875190303878,0.0569485219802288,0.921,0.22323820616249704,1.0841150877361319,0.14951023863417878,1.093049051418579
28,linear_sparse_correlated_n400_p100_lasso,400,100,linear_sparse_correlated,lasso,1000,True,0.008166087778857445,0.054686572992308155,0.054100491117643416,0.049454901320603546,0.915,0.19386321317676602,1.0939358824502285,0.16818979140826473,1.1010236286424602
34,linear_sparse_correlated_n400_p150_lasso,400,150,linear_sparse_correlated,lasso,1000,True,0.0094563497428699,0.053582396578423376,0.05276774685104242,0.04932097224963963,0.921,0.1933382112185875,1.0698845631825105,0.19356082653298412,1.0769222109941636
5,linear_sparse_correlated_n200_p100_elastic_net,200,100,linear_sparse_correlated,elastic_net,1000,True,0.03890408415938074,0.08896548644230375,0.08004834633761611,0.0687104609637984,0.876,0.2693450069780899,1.1650095955518522,0.5690817187089917,1.1677545034846006
11,linear_sparse_correlated_n200_p150_elastic_net,200,150,linear_sparse_correlated,elastic_net,1000,True,0.04126743319283906,0.08652381414444259,0.07608652003020584,0.06842467145388963,0.866,0.2682247120992475,1.1119749413993083,0.6100162528188376,1.1221403567415507
17,linear_sparse_correlated_n300_p100_elastic_net,300,100,linear_sparse_correlated,elastic_net,1000,True,0.030896907039434787,0.07063253697756372,0.06354820839389184,0.0567206975771895,0.892,0.22234513450258298,1.120370713131851,0.5453059103987475,1.1307852437231476
23,linear_sparse_correlated_n300_p150_elastic_net,300,150,linear_sparse_correlated,elastic_net,1000,True,0.03286562807575104,0.07043885412405548,0.062332720376427495,0.05622254968356693,0.88,0.2203923947595825,1.1086782923800143,0.5891193002759835,1.1132007071331742
29,linear_sparse_correlated_n400_p100_elastic_net,400,100,linear_sparse_correlated,elastic_net,1000,True,0.024135963778748094,0.058931300352324426,0.053788908339426074,0.04928835595016714,0.904,0.19321035532465533,1.0913106615649588,0.48784261950173113,1.0967313432946826
35,linear_sparse_correlated_n400_p150_elastic_net,400,150,linear_sparse_correlated,elastic_net,1000,True,0.030658862094535024,0.061933091922414724,0.05383902572325566,0.04909276358051646,0.865,0.1924436332356247,1.0966794654970873,0.6279069242912726,1.1037456485632802
