scenario_name,dgp_name,learner_name,n_obs,n_covariates,n_folds,mean_fold_ratio,coverage,coverage_gap,absolute_coverage_gap,se_ratio,mae,rmse
dense_linear_independent_n250_p25_k5_random_forest,dense_linear_independent,random_forest,250,25,5,0.125,0.0,-0.95,0.95,1.842985429601388,0.2043374532459794,0.2068956570730568
dense_linear_independent_n250_p100_k5_random_forest,dense_linear_independent,random_forest,250,100,5,0.5,0.0,-0.95,0.95,1.622758240151594,0.2027776713129999,0.2058230379665282
dense_linear_independent_n250_p150_k10_random_forest,dense_linear_independent,random_forest,250,150,10,0.6666666666666667,0.0,-0.95,0.95,1.5463244114636898,0.2534444228232312,0.2562680255340256
dense_linear_independent_n250_p300_k2_random_forest,dense_linear_independent,random_forest,250,300,2,2.3999999999999995,0.0,-0.95,0.95,1.6618017078201626,0.2702357272916709,0.2728267092314036
dense_linear_independent_n250_p300_k5_random_forest,dense_linear_independent,random_forest,250,300,5,1.5,0.0,-0.95,0.95,1.0621307982592574,0.2344577995253695,0.2411805490601681
dense_linear_independent_n500_p50_k2_random_forest,dense_linear_independent,random_forest,500,50,2,0.2,0.0,-0.95,0.95,1.27160104385531,0.1728139258715472,0.1761994571561467
dense_linear_independent_n500_p50_k10_random_forest,dense_linear_independent,random_forest,500,50,10,0.1111111111111111,0.0,-0.95,0.95,1.1846929485916735,0.1469755007168056,0.1515627968425113
dense_linear_independent_n500_p100_k2_random_forest,dense_linear_independent,random_forest,500,100,2,0.4,0.0,-0.95,0.95,1.2293555830698513,0.209793537710121,0.212769632794226
dense_linear_independent_n500_p100_k5_random_forest,dense_linear_independent,random_forest,500,100,5,0.25,0.0,-0.95,0.95,1.2804688521764604,0.1995427797436088,0.2024392445811307
dense_linear_independent_n500_p100_k10_random_forest,dense_linear_independent,random_forest,500,100,10,0.2222222222222222,0.0,-0.95,0.95,1.4906252173585433,0.169446907698277,0.1719228229144969
dense_linear_independent_n500_p150_k2_random_forest,dense_linear_independent,random_forest,500,150,2,0.5999999999999999,0.0,-0.95,0.95,1.111583390814994,0.2129228032703791,0.2161653887621034
dense_linear_independent_n500_p150_k5_random_forest,dense_linear_independent,random_forest,500,150,5,0.375,0.0,-0.95,0.95,1.0502528100845423,0.203100479005337,0.2069967594078194
dense_linear_independent_n500_p150_k10_random_forest,dense_linear_independent,random_forest,500,150,10,0.3333333333333333,0.0,-0.95,0.95,2.324570660647624,0.2064263165851065,0.2072854797672348
dense_linear_independent_n500_p300_k2_random_forest,dense_linear_independent,random_forest,500,300,2,1.1999999999999995,0.0,-0.95,0.95,0.7222282733051346,0.2380311927520479,0.2448723668928231
dense_linear_independent_n500_p300_k5_random_forest,dense_linear_independent,random_forest,500,300,5,0.75,0.0,-0.95,0.95,1.0833099281624736,0.2133729647026036,0.2168767932331011
dense_linear_independent_n500_p300_k10_random_forest,dense_linear_independent,random_forest,500,300,10,0.6666666666666667,0.0,-0.95,0.95,1.7488830883010138,0.2272092322857748,0.2285270018396085
dense_linear_independent_n1000_p50_k2_random_forest,dense_linear_independent,random_forest,1000,50,2,0.1,0.0,-0.95,0.95,1.1261862175193644,0.1350463324392351,0.1379446175531069
dense_linear_independent_n1000_p50_k5_random_forest,dense_linear_independent,random_forest,1000,50,5,0.0625,0.0,-0.95,0.95,1.1110986194830843,0.1097131560194069,0.1132079793479554
dense_linear_independent_n1000_p50_k10_random_forest,dense_linear_independent,random_forest,1000,50,10,0.0555555555555554,0.0,-0.95,0.95,1.0411232287401428,0.1235219099160595,0.1270206647142917
dense_linear_independent_n1000_p100_k2_random_forest,dense_linear_independent,random_forest,1000,100,2,0.2,0.0,-0.95,0.95,1.412430459951392,0.1787210793409225,0.1800128601869991
dense_linear_independent_n1000_p100_k5_random_forest,dense_linear_independent,random_forest,1000,100,5,0.125,0.0,-0.95,0.95,2.653545823924892,0.1649969084608406,0.1654209753523124
dense_linear_independent_n1000_p100_k10_random_forest,dense_linear_independent,random_forest,1000,100,10,0.1111111111111111,0.0,-0.95,0.95,1.510625576412601,0.1557493813563719,0.1570804812677976
dense_linear_independent_n1000_p150_k2_random_forest,dense_linear_independent,random_forest,1000,150,2,0.2999999999999999,0.0,-0.95,0.95,1.700675016683291,0.2002235554572599,0.2010539817256029
dense_linear_independent_n1000_p150_k5_random_forest,dense_linear_independent,random_forest,1000,150,5,0.1875,0.0,-0.95,0.95,1.1597004228830248,0.1735434469984348,0.1754327791103422
dense_linear_independent_n1000_p150_k10_random_forest,dense_linear_independent,random_forest,1000,150,10,0.1666666666666665,0.0,-0.95,0.95,1.3734398826318974,0.1700634777829278,0.1715594937097526
