scenario_name,dgp_name,learner_name,n_obs,n_covariates,n_folds,mean_fold_ratio,bias,mae,rmse,coverage,ci_length,se_ratio,non_convergence_rate,mean_condition_number,rank_deficiency_rate,mean_nuisance_r2_y,mean_nuisance_r2_d
dense_linear_independent_n250_p300_k2_random_forest,dense_linear_independent,random_forest,250,300,2,2.3999999999999995,0.2702357272916709,0.2702357272916709,0.2728267092314036,0.0,0.2575734458442612,1.6618017078201626,0.0,1.995185833610713e+19,0.0,0.1230815524745001,0.0873811401439334
sparse_linear_independent_n250_p150_k5_random_forest,sparse_linear_independent,random_forest,250,150,5,0.75,0.2558998239424133,0.2558998239424133,0.2598178664755064,0.0,0.2416709524583914,1.3011250964530905,0.0,164.6981525732816,0.0,0.2020261617465845,0.1526531172042108
sparse_linear_independent_n500_p300_k2_random_forest,sparse_linear_independent,random_forest,500,300,2,1.1999999999999995,0.2558395724052003,0.2558395724052003,0.26006516479103,0.0,0.1711335059327764,0.8870368802345697,0.0,1.1492060389117126e+18,0.0,0.1648396364424879,0.1377130792274899
dense_linear_independent_n250_p150_k10_random_forest,dense_linear_independent,random_forest,250,150,10,0.6666666666666667,0.2534444228232312,0.2534444228232312,0.2562680255340256,0.0,0.2423984506084131,1.5463244114636898,0.0,84.96025142791645,0.0,0.2014169509132546,0.1473770317864135
sparse_linear_independent_n250_p300_k10_random_forest,sparse_linear_independent,random_forest,250,300,10,1.3333333333333337,0.252215256824425,0.252215256824425,0.2566193399057729,0.0,0.2459747296879667,1.2575046856327727,0.0,2.9833062288871086e+18,0.0,0.1286389161265668,0.0842819771503982
sparse_linear_independent_n250_p100_k10_random_forest,sparse_linear_independent,random_forest,250,100,10,0.4444444444444445,0.2470007874319748,0.2470007874319748,0.2527837283426394,0.0,0.244353578999883,1.099988428035787,0.0,21.98943870577655,0.0,0.2407251371330701,0.1754315829364742
sparse_linear_independent_n500_p150_k2_random_forest,sparse_linear_independent,random_forest,500,150,2,0.5999999999999999,0.2468482697818761,0.2468482697818761,0.2517549072996779,0.0,0.1732616055169146,0.8477504202895224,0.0,55.7048297089441,0.0,0.2233529781964602,0.1752594703630538
sparse_linear_independent_n250_p100_k2_random_forest,sparse_linear_independent,random_forest,250,100,2,0.8,0.2466502514106648,0.2466502514106648,0.2477391846669129,0.0,0.2529860687039336,2.6387398278685072,0.0,240.2054113809118,0.0,0.2040525437592954,0.1561005973393448
sparse_linear_independent_n500_p300_k10_random_forest,sparse_linear_independent,random_forest,500,300,10,0.6666666666666667,0.2439421660521477,0.2439421660521477,0.246860951228953,0.0,0.1712005049280002,1.0946757734410315,0.0,89.96970493351736,0.0,0.1930746470549935,0.1443958817142444
sparse_linear_independent_n250_p300_k2_random_forest,sparse_linear_independent,random_forest,250,300,2,2.3999999999999995,0.2439136922670037,0.2439136922670037,0.2591928750110357,0.0,0.2520494450086389,0.6957302351076143,0.0,8.727399631010441e+18,0.0,0.1048677344221101,0.0835471041915024
sparse_linear_correlated_n250_p300_k5_random_forest,sparse_linear_correlated,random_forest,250,300,5,1.5,0.242940778629053,0.242940778629053,0.2479863303843434,0.0,0.1916904249062044,0.9321220203386604,0.0,3.1064026632209377e+18,0.0,0.2355602650734853,0.2744667778852335
dense_linear_independent_n1000_p300_k2_random_forest,dense_linear_independent,random_forest,1000,300,2,0.5999999999999999,0.2400490018537771,0.2400490018537771,0.2408066069457757,0.0,0.1242194810151216,1.5750564104259033,0.0,59.507898548738,0.0,0.2118120988665419,0.1637834818820651
dense_linear_independent_n500_p300_k2_random_forest,dense_linear_independent,random_forest,500,300,2,1.1999999999999995,0.2380311927520479,0.2380311927520479,0.2448723668928231,0.0,0.1715279211958671,0.7222282733051346,0.0,1.6066547038512755e+18,0.0,0.1706407367165857,0.1294960264905141
sparse_linear_independent_n500_p300_k5_random_forest,sparse_linear_independent,random_forest,500,300,5,0.75,0.2373351296711987,0.2373351296711987,0.2423391307731461,0.0,0.17827341854,0.8806226967575694,0.0,172.83005571508983,0.0,0.1979201803839483,0.1523833535513383
dense_linear_independent_n250_p300_k5_random_forest,dense_linear_independent,random_forest,250,300,5,1.5,0.2344577995253695,0.2344577995253695,0.2411805490601681,0.0,0.2481731032782894,1.0621307982592574,0.0,1.425162003491954e+19,0.0,0.1508701517741769,0.0896319287821405
sparse_linear_independent_n1000_p300_k2_random_forest,sparse_linear_independent,random_forest,1000,300,2,0.5999999999999999,0.2289970538714888,0.2289970538714888,0.2316361926649827,0.0,0.1267007854711032,0.8794390372879998,0.0,58.790979287888106,0.0,0.221274863277293,0.1685614349831462
sparse_linear_correlated_n250_p300_k2_random_forest,sparse_linear_correlated,random_forest,250,300,2,2.3999999999999995,0.2289069472937754,0.2289069472937754,0.2318258783019283,0.0,0.1792439204176118,1.18288664674948,0.0,5.615732642685998e+19,0.0,0.1910550093894842,0.2312681403081699
dense_linear_independent_n500_p300_k10_random_forest,dense_linear_independent,random_forest,500,300,10,0.6666666666666667,0.2272092322857748,0.2272092322857748,0.2285270018396085,0.0,0.1770932893825147,1.7488830883010138,0.0,89.97653508683528,0.0,0.1977378055714837,0.1481583206110944
sparse_linear_independent_n1000_p300_k10_random_forest,sparse_linear_independent,random_forest,1000,300,10,0.3333333333333333,0.2271522714318767,0.2271522714318767,0.2289040728529457,0.0,0.1238746709889427,1.0606351450179927,0.0,13.35023474208981,0.0,0.2701642687069125,0.2099151007414929
sparse_linear_independent_n500_p150_k5_random_forest,sparse_linear_independent,random_forest,500,150,5,0.375,0.2263321266070136,0.2263321266070136,0.2310983007120012,0.0,0.1813357024598914,0.9398770184892546,0.0,15.990352523044214,0.0,0.2654745074200517,0.2046255047696996
