DGP,scenario,n,p,OLS,Lasso,Elastic Net
Linear Baseline,n200_p100,200,100,0.191,0.887,0.86
Linear Baseline,n200_p150,200,150,0.704,0.895,0.836
Linear Baseline,n300_p100,300,100,0.676,0.902,0.873
Linear Baseline,n300_p150,300,150,0.152,0.904,0.863
Linear Baseline,n400_p100,400,100,0.758,0.899,0.876
Linear Baseline,n400_p150,400,150,0.679,0.906,0.85
Linear Sparse Correlated,n200_p100,200,100,0.168,0.929,0.876
Linear Sparse Correlated,n200_p150,200,150,0.74,0.899,0.866
Linear Sparse Correlated,n300_p100,300,100,0.658,0.92,0.892
Linear Sparse Correlated,n300_p150,300,150,0.151,0.921,0.88
Linear Sparse Correlated,n400_p100,400,100,0.772,0.915,0.904
Linear Sparse Correlated,n400_p150,400,150,0.635,0.921,0.865
