Variable,Mean,Std. Dev.,P25,Median,P75,Min,Max,Missing
net_tfa,18051.534846192637,63522.50153797623,-500.0,1499.0,16524.5,-502302,1536798,0
e401,0.3713565305093293,0.4831918928878013,0.0,0.0,1.0,0,1,0
age,41.060211800302575,10.344504863501813,32.0,40.0,48.0,25,64,0
inc,37200.623197176,24774.288005815713,19413.0,31476.0,48583.5,-2652,242124,0
fsize,2.865859808371155,1.5389369598604796,2.0,3.0,4.0,1,13,0
educ,13.206253151790216,2.810381850803535,12.0,12.0,16.0,1,18,0
pira,0.2421583459404942,0.4284112421427315,0.0,0.0,0.0,0,1,0
hown,0.6351991931417045,0.481398536869961,0.0,1.0,1.0,0,1,0
marr,0.6048411497730711,0.48890944097838646,0.0,1.0,1.0,0,1,0
db,0.27100353000504285,0.44450033089693575,0.0,0.0,1.0,0,1,0
twoearn,0.38083711548159355,0.485617124411025,0.0,0.0,1.0,0,1,0
