DGP,Learner,n,p,K,n_train,rho_fold
Interaction,Elastic Net,250,25,2,125.0,0.2
Interaction,Elastic Net,250,25,5,200.0,0.125
Interaction,Elastic Net,250,25,10,225.0,0.111
Interaction,Elastic Net,250,50,2,125.0,0.4
Interaction,Elastic Net,250,50,5,200.0,0.25
Interaction,Elastic Net,250,50,10,225.0,0.222
Interaction,Elastic Net,250,100,2,125.0,0.8
Interaction,Elastic Net,250,100,5,200.0,0.5
Interaction,Elastic Net,250,100,10,225.0,0.444
Interaction,Elastic Net,250,150,2,125.0,1.2
Interaction,Elastic Net,250,150,5,200.0,0.75
Interaction,Elastic Net,250,150,10,225.0,0.667
Interaction,Elastic Net,250,300,2,125.0,2.4
Interaction,Elastic Net,250,300,5,200.0,1.5
Interaction,Elastic Net,250,300,10,225.0,1.333
Interaction,Elastic Net,500,25,2,250.0,0.1
Interaction,Elastic Net,500,25,5,400.0,0.062
Interaction,Elastic Net,500,25,10,450.0,0.056
Interaction,Elastic Net,500,50,2,250.0,0.2
Interaction,Elastic Net,500,50,5,400.0,0.125
Interaction,Elastic Net,500,50,10,450.0,0.111
Interaction,Elastic Net,500,100,2,250.0,0.4
Interaction,Elastic Net,500,100,5,400.0,0.25
Interaction,Elastic Net,500,100,10,450.0,0.222
Interaction,Elastic Net,500,150,2,250.0,0.6
Interaction,Elastic Net,500,150,5,400.0,0.375
Interaction,Elastic Net,500,150,10,450.0,0.333
Interaction,Elastic Net,500,300,2,250.0,1.2
Interaction,Elastic Net,500,300,5,400.0,0.75
Interaction,Elastic Net,500,300,10,450.0,0.667
Interaction,Elastic Net,1000,25,2,500.0,0.05
Interaction,Elastic Net,1000,25,5,800.0,0.031
Interaction,Elastic Net,1000,25,10,900.0,0.028
Interaction,Elastic Net,1000,50,2,500.0,0.1
Interaction,Elastic Net,1000,50,5,800.0,0.062
Interaction,Elastic Net,1000,50,10,900.0,0.056
Interaction,Elastic Net,1000,100,2,500.0,0.2
Interaction,Elastic Net,1000,100,5,800.0,0.125
Interaction,Elastic Net,1000,100,10,900.0,0.111
Interaction,Elastic Net,1000,150,2,500.0,0.3
Interaction,Elastic Net,1000,150,5,800.0,0.188
Interaction,Elastic Net,1000,150,10,900.0,0.167
Interaction,Elastic Net,1000,300,2,500.0,0.6
Interaction,Elastic Net,1000,300,5,800.0,0.375
Interaction,Elastic Net,1000,300,10,900.0,0.333
Interaction,Gradient Boosting,250,25,2,125.0,0.2
Interaction,Gradient Boosting,250,25,5,200.0,0.125
Interaction,Gradient Boosting,250,25,10,225.0,0.111
Interaction,Gradient Boosting,250,50,2,125.0,0.4
Interaction,Gradient Boosting,250,50,5,200.0,0.25
Interaction,Gradient Boosting,250,50,10,225.0,0.222
Interaction,Gradient Boosting,250,100,2,125.0,0.8
Interaction,Gradient Boosting,250,100,5,200.0,0.5
Interaction,Gradient Boosting,250,100,10,225.0,0.444
Interaction,Gradient Boosting,250,150,2,125.0,1.2
Interaction,Gradient Boosting,250,150,5,200.0,0.75
Interaction,Gradient Boosting,250,150,10,225.0,0.667
Interaction,Gradient Boosting,250,300,2,125.0,2.4
Interaction,Gradient Boosting,250,300,5,200.0,1.5
Interaction,Gradient Boosting,250,300,10,225.0,1.333
Interaction,Gradient Boosting,500,25,2,250.0,0.1
Interaction,Gradient Boosting,500,25,5,400.0,0.062
Interaction,Gradient Boosting,500,25,10,450.0,0.056
Interaction,Gradient Boosting,500,50,2,250.0,0.2
Interaction,Gradient Boosting,500,50,5,400.0,0.125
Interaction,Gradient Boosting,500,50,10,450.0,0.111
Interaction,Gradient Boosting,500,100,2,250.0,0.4
