"net_tfa","e401","age","inc","fsize","educ","pira","hown","marr","db","twoearn"
-3300,0,31,28146,5,12,0,1,1,0,0
61010,0,52,32634,5,16,0,1,0,0,0
8849,0,50,52206,3,11,1,1,1,0,1
-6013,0,28,45252,4,15,0,0,1,0,1
-2375,0,42,33126,3,12,0,1,0,1,0
-11000,0,49,76860,6,15,0,1,1,1,1
-16901,0,40,57477,4,17,0,1,1,1,1
1000,0,58,14637,1,14,0,0,0,0,0
0,0,29,6573,4,12,0,0,0,0,0
6400,0,50,5766,1,14,1,0,0,0,0
24900,0,45,43239,1,12,1,1,0,1,0
-675,0,25,40323,3,12,0,0,1,0,1
-400,0,30,30000,2,14,0,0,1,0,0
-83,0,27,9612,1,17,0,0,0,0,0
35400,0,42,85086,4,12,1,1,1,0,1
-100,0,35,32208,2,13,0,0,1,0,1
62300,0,35,63525,1,18,1,0,0,0,0
-3888,0,41,31896,5,12,0,0,1,0,0
20,0,53,9744,1,12,0,0,1,0,0
3098,0,62,74589,3,16,0,1,1,1,0
205,0,45,38148,1,11,0,0,0,0,0
2863,0,56,16290,1,12,0,0,0,0,0
0,0,31,11340,1,12,0,0,0,0,0
-2171,0,31,26175,5,13,0,0,1,0,1
360413,0,63,71535,2,18,1,1,1,0,0
499,0,56,21678,1,13,0,1,0,1,0
-1300,0,52,27360,4,13,0,1,1,0,0
-1700,0,58,29724,3,12,0,1,1,1,1
53698,0,42,42084,1,16,0,1,0,1,0
26000,0,35,71340,2,14,1,1,1,0,1
1000,0,61,35100,5,12,0,0,0,0,0
-2580,0,62,15051,2,10,0,1,1,0,0
-2430,0,48,14328,3,12,0,1,1,0,1
8215,0,28,68214,3,14,1,1,1,0,0
18700,0,51,30030,3,12,1,1,0,1,0
-2600,0,45,9315,2,14,0,1,0,0,0
-1393,0,28,45351,2,12,0,0,1,0,1
-800,0,39,22095,1,16,0,0,0,0,0
8399,0,42,47934,4,17,1,1,1,1,1
-11760,0,43,27168,6,7,0,1,1,0,0
-470,0,31,38151,2,12,0,1,0,0,0
3880,0,28,41610,4,14,0,1,1,1,1
-4220,0,39,31848,4,15,0,1,1,1,1
3000,0,60,37794,2,13,1,0,1,0,1
19947,0,58,38949,2,12,1,1,1,0,0
5249,0,30,31098,1,16,0,0,0,0,0
-8501,0,32,53700,4,16,0,0,1,0,1
-2431,0,31,37317,2,16,0,1,0,0,0
-1550,0,31,23748,1,16,0,0,0,1,0
-750,0,31,31470,2,13,1,1,1,0,1
34450,0,31,42750,2,12,0,1,1,0,1
699,0,40,32976,1,18,0,0,0,1,0
-8700,0,31,40473,4,12,0,1,1,0,1
0,0,45,4590,1,12,0,0,0,0,0
-1855,0,34,16122,3,13,0,1,1,0,1
3000,0,63,34764,2,10,0,0,1,0,1
0,0,55,25200,1,16,0,0,0,0,0
57000,0,29,58878,3,1,0,1,1,0,0
-5900,0,53,14496,2,15,0,1,0,0,0
0,0,46,17280,6,12,0,0,0,0,0
21199,0,39,50283,4,16,0,1,1,1,1
7999,0,37,51060,1,15,1,1,0,0,0
-24800,0,56,31548,6,14,0,1,1,0,1
32568,0,49,12675,3,12,0,1,0,1,0
199,0,41,25542,4,8,0,0,0,1,0
35883,0,39,56913,3,16,1,1,1,0,1
-8301,0,39,28836,2,18,0,0,0,0,0
36950,0,37,14400,2,16,0,1,0,0,0
2258,0,32,13866,2,12,0,0,0,0,0
50,0,26,16215,3,13,0,1,1,0,0
100000,0,64,43002,2,14,1,1,1,0,0
-1700,0,35,42393,4,12,0,0,1,0,0
-8900,0,37,50280,4,13,0,1,1,0,1
635,0,25,21630,1,16,1,0,0,0,0
-1796,0,44,51552,4,12,0,1,1,1,1
0,0,27,8286,1,12,0,0,0,0,0
4199,0,44,15870,2,12,0,0,0,0,0
0,0,32,22440,3,12,0,1,1,0,1
-165,0,37,20421,1,13,0,0,0,0,0
-400,0,48,27156,2,12,0,1,0,0,0
65805,0,38,52035,4,15,1,1,1,1,1
0,0,31,23223,4,12,0,0,1,0,0
-21498,0,45,34002,3,12,1,0,1,0,0
4999,0,41,60600,5,12,0,1,1,1,1
87897,0,59,79545,2,18,1,1,1,0,0
0,0,27,18156,4,12,0,0,1,0,1
-450,0,53,21600,1,12,0,0,0,0,0
63022,0,37,41994,4,12,1,1,1,0,1
7300,0,31,50346,4,12,0,1,1,0,1
-3800,0,51,19815,1,15,0,0,0,1,0
-1480,0,33,12501,2,12,0,0,0,1,0
199,0,35,33012,3,14,0,0,0,0,0
626,0,28,38400,2,12,0,1,1,0,1
450,0,36,26472,3,10,0,1,1,0,1
-46700,0,32,44460,4,14,0,0,1,1,1
750,0,25,27657,1,12,0,0,0,0,0
-43434,0,60,40917,3,13,0,0,1,0,0
8400,0,35,47040,4,18,0,0,1,0,1
10299,0,44,22956,2,6,0,0,0,0,0
17600,0,60,23109,2,13,1,1,1,0,0
11100,0,34,28380,4,12,0,1,1,0,1
-296,0,27,32154,3,13,0,0,1,0,1
25204,0,62,33096,2,9,1,1,1,0,0
50,0,34,17883,5,6,0,0,1,0,1
1200,0,30,22362,1,13,0,0,0,0,0
900,0,36,42114,6,15,0,0,1,0,1
74000,0,52,97299,4,16,1,1,1,1,1
31649,0,40,36060,1,13,1,1,1,0,0
8300,0,40,40194,3,12,1,0,1,1,1
4620,0,53,88422,5,17,1,1,1,0,1
3000,0,46,7938,2,12,0,0,0,1,0
-248,0,41,14580,3,12,0,0,0,0,0
5100,0,30,29616,3,16,1,0,1,0,1
5500,0,33,38850,5,12,0,1,1,0,0
100,0,41,45624,4,13,0,1,1,0,0
0,0,45,5277,3,7,0,0,0,0,0
-113,0,36,21369,2,12,0,1,0,0,0
2650,0,58,15420,2,12,0,0,1,0,0
0,0,25,8925,3,1,0,0,0,0,0
-100,0,31,20475,1,17,0,0,1,0,0
1024,0,26,42738,3,15,0,1,1,0,1
0,0,30,18753,1,12,0,0,0,0,0
0,0,28,14280,1,6,0,0,0,0,0
0,0,39,4872,2,18,0,1,0,0,0
-315,0,31,11364,4,12,0,0,1,0,0
-2450,0,27,48900,3,12,0,0,1,0,1
0,0,36,11400,2,11,0,0,0,0,0
-11800,0,46,33375,3,12,0,1,1,0,1
11422,0,57,11820,2,12,0,1,0,1,0
-2140,0,29,22440,3,12,0,0,1,0,0
0,0,53,7440,1,12,0,0,0,0,0
300,0,29,19215,1,12,0,0,0,0,0
5000,0,41,54852,5,12,0,1,1,1,1
-8676,0,40,37062,6,18,0,1,1,1,1
6000,0,25,15660,1,14,0,0,0,0,0
2000,0,48,73650,4,17,0,1,1,1,1
11999,0,30,48111,3,14,0,1,1,0,0
-1550,0,41,22617,4,12,0,1,1,0,1
-9050,0,26,11100,1,18,0,0,0,0,0
